16
Nablus,303,284
Ramallah,280,330
Lod,227,343
Jericho,340,355
Jerusalem,244,373
Bethlehem,252,402
Hebron,250,424
Jafa,206,305
Um-Khaled,234,261
Jenin,287,231
Nazareth,293,174
Haifa,248,183
Acre,280,120
Safad,337,106
Rafah,100,468
Tiberias,330,164
